Nº UGRHI,UGRHI,MUNICÍPIO,PONTO,"SISTEMA
AQUÍFERO",AMOSTRA,DATA,Sinal,Al total - µg/L,Sinal,Sb Total - µg/L,Sinal,As total - µg/L,Sinal,Ba Total - µg/L,Sinal,Be Total - µg/L,Sinal,Bo total - µg/L,Sinal,Cd Total - µg/L,Sinal,Ca Total - µg/L,Sinal,Pb Total - µg/L,Sinal,Co Total - µg/L,Sinal,Cu Total - µg/L,Sinal,Cr total - µg/L,Sinal,Dureza Total - mg/L,Sinal,Sn Total - µg/L,Sinal,Sr total - µg/L,Sinal,Fe total - µg/L,Sinal,P Total - µg/L,Sinal,Li Total - µg/L,Sinal,Mg total - µg/L,Sinal,Mn total - µg/L,Sinal,Hg total - µg/L,Sinal,Mo total - µg/L,Sinal,Ni total - µg/L,Sinal,K Total - µg/L,Sinal,Ag total - µg/L,Sinal,Se total - µg/L,Sinal,Na total - µg/L,Sinal,Ti total - µg/L,Sinal,U total - µg/L,Sinal,V total - µg/L,Sinal,Zn total - µg/L,Sinal,Cloreto - mg/L,Sinal,Fluoreto - mg/L,Sinal,Sulfato - mg/L,Sinal,Nitrogênio amoniacal - mg/L,Sinal,NKT - mg/L,Sinal,N-Nitrato - mg/L,Sinal,N-Nitrito  - mg/L,Sinal,SDT - mg/L,Sinal,Alcalinidade Bicarbonato - mg/L,Sinal,Alcalinidade Carbonato - mg/L,Sinal,Alcalinidade hidróxido - mg/L,Sinal,Alcalinidade total - mg/L,Sinal,Carbono Orgânico Dissolvido,Sinal,CE - Campo,Sinal,pH - campo,Sinal,Temp água -  °C,Sinal,Temp. ar - °C,"Coli totais 
P/A em 100 mL","E coli
P/A em 100 mL","Bac. Heter
UFC/mL"
1,MANTIQUEIRA,CAMPOS DO JORDAO,PC00322P,Pré-Cambriano/Cristalino,2306614,3/4/2023,=,10.9,<,0.02,<,0.2,=,8.5,<,0.5,<,2,=,0.01,=,680,=,0.08,<,0.05,=,0.4,<,0.2,=,2.56,<,0.2,=,8.3,=,104,<,10,=,0.21,=,210,=,5.08,<,0.1,=,0.08,=,0.48,=,590,<,0.1,<,0.2,=,700,=,0.61,=,0.06,<,0.2,=,6.82,=,2.64,<,1,=,3.25,<,1,=,4.04,=,0.68,<,0.01,<,50,=,60.3,=,0,=,0,,NA,<,1,=,140,=,5.6,=,19,=,21,Ausente,Ausente,31
1,MANTIQUEIRA,CAMPOS DO JORDAO,PC00322P,Pré-Cambriano/Cristalino,2319240,5/10/2023,=,17.2,<,0.02,<,0.2,=,22.7,<,0.5,<,2,<,0.01,=,12630,=,0.09,=,0.07,=,0.72,=,0.71,=,43.5,<,0.2,=,156,=,175,=,10.2,=,1.27,=,2908,=,67.9,<,0.1,=,0.17,=,0.76,=,2236,<,0.1,<,0.2,=,7206,=,1.54,=,0.04,=,0.27,=,21.4,=,2.52,<,1,=,2.61,<,0.5,=,0.95,=,0.77,<,0.01,<,50,=,54.7,=,0,=,0,,NA,<,1,=,148,=,6.7,=,20,=,27,Ausente,Ausente,1
1,MANTIQUEIRA,CAMPOS DO JORDAO,PC00363N,Pré-Cambriano/Cristalino,2306617,3/4/2023,=,14.3,<,0.02,<,0.2,=,22,<,0.5,<,2,=,0.01,=,13000,=,0.1,<,0.05,=,0.33,<,0.2,=,44,<,0.2,=,160,=,99,<,10,=,0.19,=,2800,=,5.26,<,0.1,<,0.03,=,0.4,=,2200,<,0.1,<,0.2,=,9200,=,0.93,=,0.02,<,0.2,=,7.3,<,1,<,1,<,1,<,1,<,1,=,0.11,<,0.01,<,50,=,2.75,=,0,=,0,,NA,<,1,=,8,=,5.4,=,15,=,19,Presente,Presente,260
1,MANTIQUEIRA,CAMPOS DO JORDAO,PC00363N,Pré-Cambriano/Cristalino,2319241,5/10/2023,=,80.2,<,0.02,<,0.2,=,6.35,<,0.5,<,2,<,0.01,<,500,=,0.07,<,0.05,=,0.6,=,0.84,<,1.3,<,0.2,=,5.02,=,116,<,10,=,0.22,=,108,=,5.62,<,0.1,<,0.03,<,0.2,=,644,<,0.1,<,0.2,=,417,=,1.14,=,0.005,=,0.29,=,5.06,<,1,<,1,<,1,<,0.5,=,8.37,<,0.1,<,0.01,<,50,=,2.49,=,0,=,0,,NA,<,1,=,9,=,7.4,=,17,=,21,Presente,Presente,270
2,PARAIBA DO SUL,BANANAL,PC00200P,Pré-Cambriano/Cristalino,2307208,11/4/2023,<,2,<,0.02,<,0.2,=,27.6,<,0.5,=,4.09,<,0.01,=,27600,<,0.05,=,0.09,<,0.2,<,0.2,=,100,<,0.2,=,136,=,2250,=,124,=,28.6,=,7590,=,276,<,0.1,=,0.37,=,0.36,=,3780,<,0.1,<,0.2,=,19300,<,0.3,=,0.11,<,0.2,=,2.23,=,15.2,<,1,=,17.5,<,0.5,<,0.5,<,0.1,<,0.01,=,182,=,108,=,0,=,0,,NA,=,1.19,=,313,=,6.2,=,23,=,24,Ausente,Ausente,1
2,PARAIBA DO SUL,BANANAL,PC00200P,Pré-Cambriano/Cristalino,2319243,2/10/2023,<,2,<,0.02,<,0.2,=,25.2,<,0.5,=,2.81,<,0.01,=,26580,<,0.05,=,0.08,=,0.24,<,0.2,=,97.8,<,0.2,=,130,=,2395,=,127,=,35.2,=,7636,=,264,<,0.1,=,0.46,=,0.3,=,3756,<,0.1,<,0.2,=,18900,<,0.3,=,0.07,<,0.2,=,0.77,=,14.9,<,1,=,16.4,<,0.5,<,0.5,<,0.1,<,0.01,=,178,=,109,=,0,=,0,,NA,=,1.47,=,347,=,6.8,=,23,=,23,Ausente,Ausente,1
2,PARAIBA DO SUL,CACAPAVA,TA00021P,Taubaté,2306612,3/4/2023,<,2,<,0.02,=,2.77,=,93,<,0.5,=,6.44,<,0.01,=,18000,<,0.05,<,0.05,<,0.2,<,0.2,=,47.9,<,0.2,=,210,=,33.6,=,207,=,7.94,=,720,=,24,<,0.1,=,3.67,<,0.2,=,3600,<,0.1,<,0.2,=,14000,<,0.3,=,0.05,<,0.2,=,2.45,=,1.13,<,1,=,4.08,<,1,<,1,<,0.1,<,0.01,=,84,=,77.2,=,0,=,0,,NA,<,1,=,165,=,7.3,=,27,=,23,Ausente,Ausente,1
2,PARAIBA DO SUL,CACAPAVA,TA00021P,Taubaté,2319238,5/10/2023,<,2,<,0.02,=,3.11,=,84.9,<,0.5,=,5.12,<,0.01,=,17350,=,0.1,<,0.05,=,0.45,<,0.2,=,46,<,0.2,=,200,=,45,=,213,=,9.07,=,659,=,28.5,<,0.1,=,4.42,<,0.2,=,3475,<,0.1,<,0.2,=,13900,<,0.3,=,0.06,=,0.21,=,3.66,<,1,<,1,=,4.12,<,0.5,=,1.27,<,0.1,<,0.01,=,72,=,74.7,=,0,=,0,,NA,<,1,=,182,=,7.7,=,27,=,23,Ausente,Ausente,38
2,PARAIBA DO SUL,CACHOEIRA PAULISTA,TA00364P,Taubaté,2307207,11/4/2023,=,5.78,<,0.02,<,0.2,=,21.1,<,0.5,<,2,<,0.01,=,3110,=,0.1,<,0.05,=,0.42,=,1.55,=,11.3,<,0.2,=,42.2,=,807,=,52.2,=,3.85,=,867,=,10,<,0.1,=,0.07,=,0.25,=,3580,<,0.1,=,0.21,=,7540,=,0.45,=,0.02,=,0.38,=,4.75,<,1,<,1,=,2.97,<,0.5,<,0.5,<,0.1,<,0.01,=,50,=,26.5,=,0,=,0,,NA,<,1,=,64,=,6.4,=,22,=,23,Ausente,Ausente,1
2,PARAIBA DO SUL,CACHOEIRA PAULISTA,TA00364P,Taubaté,2319244,2/10/2023,=,16.6,<,0.02,<,0.2,=,18.5,<,0.5,<,2,<,0.01,=,2762,=,0.5,<,0.05,=,1.74,=,2.43,=,10.4,<,0.2,=,38.6,=,776,=,41.4,=,4.39,=,852,=,9.93,<,0.1,=,0.08,=,0.28,=,3476,<,0.1,<,0.2,=,7181,=,1.28,=,0.02,=,0.35,=,13.1,<,1,<,1,=,2.63,<,0.5,<,0.5,<,0.1,<,0.01,=,62,=,25.4,=,0,=,0,,NA,<,1,=,70,=,6.5,=,23,=,24,Presente,Ausente,1
